description,num_pages,book_Title,Book_Author,year_of_Publication,image,categoryname,price,inStock,category
novel reader critic eagerly anticipating decade gilead astonishingly imagined story remarkable life john ames preacher son preacher grandson maternal paternal preacher 1956 gilead iowa towards end reverend amess life absorbed recording family story legacy young son never see grow haunted grandfather presence john tell rift grandfather father elder angry visionary fought abolitionist cause son ardent pacifist troubled prodigal namesake jack john ames boughton best friend lost son return gilead searching forgiveness redemption told john amess joyous rambling voice find beauty humour truth smallest life detail gilead song celebration acceptance best worst world offer heart tale sacred bond father son pitchperfect style story set dazzle critic reader alike,247,gilead,marilynne robinson,2004,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2477,28,
new christie christmas fulllength novel adapted acclaimed play charles osborne following black coffee unexpected guest come final agatha christie play novelisation bringing superb storytelling new legion fan clarissa wife foreign office diplomat given daydreaming supposing come one morning find dead body library mus clarissa chance find discovers body drawingroom house kent desperate dispose body husband come home important foreign politician clarissa persuades three house guest become accessory accomplice seems murdered man unknown certain member house party one search begin murderer motive time trying persuade police inspector murder spider web written 1954 specifically margaret lockwood opened first theatre royal nottingham moving savoy theatre london 14 december 1954 mousetrap wi,241,spider's web,charles osborne;agatha christie,2000,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,2357,26,
volume two stephen donaldsons acclaimed second trilogy featuing compelling antihero thomas covenant,479,the one tree,stephen r. donaldson,1982,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2806,22,
memorable mesmerizing heroine jennifer brilliant beautiful attorney way mafia scheme win hatred implacable enemy love destructive hate dangerous dramatic world dark arena organized crime flashbulb lit courtroom ambitious prosecutor begin climb political power,512,rage of angels,sidney sheldon,1993,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2818,21,
kate blackwell enigma one powerful woman world ninetieth birthday celebration ghost absent friend absent enemy,489,master of the game,sidney sheldon,1982,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,adventure stories,1076,21,
one sidney sheldons popular bestselling title repackaged reissued new generation fan,501,if tomorrow comes,sidney sheldon,1994,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,adventure stories,2490,21,
fantasyroman,460,assassin's apprentice,robin hobb,1996,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2960,24,
tricked wily halfbrother lysaer lord light arrives tiny harbor town merior find arithons ship yard abandoned meticulously destroyed master shadow disappeared thin air meanwhile arithon mad prophet dakar traveling foot treacherous kelhorn mountain towards vastmark clan raise support cause raising warhost costly business mere coincidence princess talithlysaers beautiful headstrong wifeis taken captive held vast ransom master brigand force light shadow circle feint drawing ever closer huge conflict background fellowship seven sorcerer koriani enchantress watch plan wait,522,warhost of vastmark,janny wurts,1995,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1464,20,
available u first time second volume exceptional legend riftwar series new york timesbestselling author feist rosenberg,337,murder in lamut,raymond e. feist;joel rosenberg,2003,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,adventure stories,2019,20,
jimmy hand boy thief krondor lived shadow city though gifted beyond peer jimmy merely pickpocket potentialuntil aid prince arutha rescue princess anita duke guy du bastyra run afoul black guy secret police facing choice disappearing weighted barrel bottom krondors harbor jimmy chooses former forced flee home he ever known jimmy find among unsuspecting rural villager land end hope prosper talent con thievery land end home many tread crooked pathand dark dangerous presence even local smuggler dont recognize suddenly jimmy youthful bravado courage leading maw chaos quite possibly doom,368,jimmy the hand,raymond e. feist;s. m. stirling,2003,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2901,23,
1968 find nicholas darrow wrestling personal problem marry rosalind unable avoid promiscuity become priest find difficult live one break dangerous dependence father,576,mystical paths,susan howatch,1996,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1740,22,
1937 charles ashworth canon archbishop canterbury sent untangle web selfdelusion corruption episcopal palace charismatic bishop starbridge,512,glittering images,susan howatch,1996,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1000,20,
fantasy master robin hobb delivers stunning second volume liveship trader trilogy returning timeless city bingtown pirate plague coast dreaded slave trade flourish althea vestrit doesnt time afraid family newly awakened liveship vivacia seized ruthless pirate kennit althea hatch bold plan carry must recruit liveship already slain two crew said insane,906,the mad ship,robin hobb,2000,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2825,29,
book jack aubrey return duty protecting whaler south american coast persuaded casual acquaintance make investment city strength supposedly certain information led halfworlds london criminal underground government espionage province friend stephen maturin,261,the reverse of the medal,patrick o'brian,1997,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,adventure stories,1955,30,
girl night feature story growing growing moving moving falling apart getting together turn cell phone curl couch one girl night wont want miss,586,girls' night in,jessica adams;chris manby;fiona walker,2000,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2531,22,
joe parent enjoying summer holiday sea ocean star hotel sky bright blue sun shine joe love seaside offer fog roll rain fall joe begin wish back home thing change however owner hotel invite joe share magical world step away loft black night joes head thousand tiny star begin sparkle distance hears chugchugchug model train whole world soon open joes eye world snowcapped mountain great desert rocking fishing boat,32,ocean star express,mark haddon;peter sutton,2002,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2221,20,
two work fairystories leaf niggle first brought together form book tree leaf 1964 new edition third element added poem mythopoeia making mythspreface,176,tree and leaf,john ronald reuel tolkien,2001,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary collections,2729,24,
archaeologist wife murdered shore river tigris iraq clear amy leatheran something sinister going hassanieh dig iraq something associated presence lovely louise wife celebrated archaeologist dr leidner day time hercule poirot due drop excavation site louise suffering terrifying hallucination tension within group becoming almost unbearable poirot might late,264,murder in mesopotamia,agatha christie,2001,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,1759,30,
woman killed poisoned dart enclosed confines commercial passenger plane seat no9 hercule poirot ideally placed observe fellow air passenger right sat pretty young woman clearly infatuated man opposite ahead seat no13 sat countess poorlyconcealed cocaine habit across gangway seat no8 detective writer troubled aggressive wasp poirot yet realize behind seat no2 sat slumped lifeless body woman,333,death in the clouds,agatha christie,2001,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,1968,20,
repugnant amercian widow killed trip petra among towering red cliff petra like monstrous swollen buddha sat corpse mr boynton tiny puncture mark wrist sign fatal injection killed 24 hour available solve mystery hercule poirot recalled chance remark hed overheard back jerusalem see dont shes got killed mr boynton indeed detestable woman hed ever met,303,appointment with death,agatha christie,2001,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,2591,23,
ruthless international cartel seek world domination framed doorway poirots bedroom stood uninvited guest coated head foot dust man gaunt face stared moment swayed fell suffering shock exhaustion significance figure 4 scribbled sheet paper poirot find plunged world international intrigue risking life uncover truth number four,272,the big four,agatha christie,2002,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,2598,29,
man shot juvenile reform home someone else dy miss marple sens danger visit friend living victorian mansion double rehabilitiation centre delinquent fear confirmed youth fire revolver administrator lewis serrocold neither injured mysterious visitor mr gilbrandsen le fortunate shot dead simultaneously another part building pure coincidence miss marple think vow discover real reason mr gilbrandsens visit,284,they do it with mirrors,agatha christie,2002,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2102,21,
week marrying attractive young widow gordon cloade tragically killed bomb blast london blitz overnight former mr underhay find sole possession cloade family fortune shortly afterwards hercule poirot receives visit dead man sisterinlaw claim warned spirit mr underhay first husband still alive poirot suspicion asked find missing person guided spirit world yet mystifies poirot woman true motive approaching,352,taken at the flood,agatha christie,2002,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1186,25,
lucy angkatell invited hercule poirot lunch tease great detective guest stage mock murder beside swimming pool unfortunately victim play scene real blood drip water john christow gasp one final word henrietta confusion gun sink bottom pool poirot enquiry reveal complex web romantic attachment seems everyone drama suspect victim love,384,the hollow,agatha christie,2002,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,1434,20,
dangerous necromancer threatens unleash longburied evil lirael prince sameth drawn battle save old kingdom reveal true destiny suggested level secondary,527,lirael,garth nix,2004,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1894,23,
sixty year jewish refugee descendant prospered federal district sitka temporary safe created wake revelation holocaust shocking 1948 collapse fledgling state israel proud grateful longing american jew sitka district created little world alaskan panhandle vibrant gritty soulful complex frontier city move music yiddish sixty year left alone neglected halfforgotten backwater history district set revert alaskan control dream coming end tide history threaten sweep carry unknown homicide detective meyer landsman district police enough problem without worrying upcoming reversion life shamble marriage wreck career disaster halftlingit partner berko shemets cant catch break outstanding case landsman new supervisor love lifeand also worst nightmare cheap hotel washed someone committed murderright landsman nose habit obligation mysterious sense somehow offer shot redeeming landsman begin investigate killing neighbor former chess prodigy word come high case dropped immediately landsman soon find contending powerful force faith obsession hopefulness evil salvation heritageand unfinished business marriage bina gelbfish one person understands darkest fear gripping whodunit love story homage 1940s noir exploration mystery exile redemption yiddish policeman union novel michael chabon could written,414,the yiddish policemen's union,michael chabon,2007,http://books.google.com/books/content?id=-reD1g77BfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2823,27,
matter life death throne england,242,"beware, princess elizabeth",carolyn meyer,2003,http://books.google.com/books/content?id=wPBpR4AFNJ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,children's stories,1420,25,
gipsy acre truly beautiful upland site view sea michael rogers stirred childlike fantasy among dark fir tree planned build house find wonderful girl live happily ever yet left village shadow menace hung land place accident happened perhaps michael heeded local warning luck meddles gipsy acre,303,endless night,agatha christie,2002,http://books.google.com/books/content?id=kY1wuNfgmFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1634,30,
harper essay reprinted volume alongside personal essay painstaking often funny reportage although subject range widely piece wrestle erosion civic life private dignity hidden persistence loneliness postmodern america,306,how to be alone,jonathan franzen,2004,http://books.google.com/books/content?id=ozVWaXd9xvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary collections,2552,23,
mysterious stranger appears new year eve party becoming enigmatic sleuthing sidekick snobbish mr satterthwaite far typical new year eve house party mr satterthwaite keen observer human nature sensed real drama evening yet unfold proved mysterious stranger arrived midnight mr quin presence pronounced effect eleanor portal woman dyedblack hair,396,the mysterious mr. quin,agatha christie,2003,http://books.google.com/books/content?id=n0aMDV7Lm4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,1429,25,
selection mystery lighthearted romantic deadly twelve tantalizing case curious disappearance lord listerdale newlywed fear exfiance strange encounter train domestic murder investigation wild man sudden personality change retired inspector hunt murderess young woman impersonation duchess necklace hidden basket cherry mystery writer arrest murder astonishing marriage proposal soprano hatred baritone case rajah emerald one thing common skilful hand agatha christie,317,the listerdale mystery,agatha christie,2003,http://books.google.com/books/content?id=J1tLGz5G84EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,1057,28,
oscar wilde one literary history explosive love affair lord alfred bosie douglas 1895 bosie father marquess queensberry delivered note albemarle club addressed oscar wilde posing sodomite bosie encouragement wilde sued marquess libel lost tried twice gross indecency sent prison two year hard labor publication uncensored trial transcript reader first time century hear wilde articulate brilliant real trial oscar wilde document alarmingly swift fall grace also supremely moving testament right live work love one heart dictate,384,the real trial of oscar wilde,merlin holland,2004,http://books.google.com/books/content?id=QfNgQfTKcg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,2709,24,
bangups hangups lurch slump dr seuss take hilarious look mishap misadventure life may store u,48,"oh, the places you'll go!",dr. seuss,2003,http://books.google.com/books/content?id=Ev4Llq5fv4IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,adventure stories,1586,26,
designed take fan hobbit lord ring deeper myth legend middleearth silmarillion account elder day first age tolkien world ancient drama character lord ring look back whose event elrond galadriel took part tale silmarillion set age morgoth first dark lord dwelt middleearth high elf made war upon recovery silmarils jewel containing pure light valinor included book several shorter work ainulindale myth creation valaquenta nature power god described akallabeth recount downfall great island kingdom numenor end second age ring power tell great event end third age narrated lord ring pivotal work feature revised corrected text includes way introduction fascinating letter written tolkien 1951 give full explanation conceived early age middleearth,386,the silmarillion,john ronald reuel tolkien;ted nasmith,2004,http://books.google.com/books/content?id=hLH0dtl5NVwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2655,30,
boy imago would like thing duck foot whale spout elephant trunk,64,i wish that i had duck feet,dr. seuss;barney tobey,2004,http://books.google.com/books/content?id=m9cZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,children's stories,2782,24,
tie tongue terrible knot try read aloud nonsense rhyming story,36,oh say can you say?,dr. seuss,2004,http://books.google.com/books/content?id=r4l8AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,children's stories,1833,22,
miller groundbreaking first novel banned britain almost thirty year reinvigorated new harper perennial modern classic edition penniless yet unpublished writer henry miller arrived paris 1930 leaving behind disintegrating marriage unhappy career america threw lowlife bohemian paris unwavering gusto fictional account miller adventure amongst prostitute pimp penniless painter writer montparnasse tropic cancer extravagant rhapsodic hymn world unrivalled eroticism freedom tropic cancer 1934 publication france hailed samuel beckett momentous event history modern writing novel subsequently banned uk usa released publication thirty year,336,tropic of cancer,henry miller,2005,http://books.google.com/books/content?id=ProgRjTL8FIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1099,30,
depicts innerworkings hollywood movie industry impact fabric american life,169,the love of the last tycoon,f. scott fitzgerald,1994,http://books.google.com/books/content?id=3EDbEHca_k8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction,2948,22,
wrote pulitzer prizewinning bestseller shipping news e annie proulx already producing finest short fiction country collected story including two new work never anthologized story reverberate rural tradition rite nature ritual smalltown life country bluecollar new england character native family dispossessed working class whose heritage challenged neorural bourgeoisie city theme elemental landscape revenge malice greed passion told skill profundity crafted master storyteller lean tough tale extraordinary place people,203,heart songs and other stories,annie proulx,1995,http://books.google.com/books/content?id=_K2fswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2565,21,
dawn treader first ship narnia seen century king caspian built voyage find seven lord good men evil uncle mizaz banished usurped throne journey take edmund lucy cousin eustace eastern island beyond silver sea toward aslans country end world illustration,216,the voyage of the dawn treader,clive staples lewis,1970,http://books.google.com/books/content?id=fDD3CfYb70cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1070,30,
fortynine story reflect much intensity hemingway life environment,499,the short stories of ernest hemingway,ernest hemingway,1986,http://books.google.com/books/content?id=Len1AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2350,26,
style manual ever appear bestseller list offer practical fundamental advice improving writing skill promoting style marked simplicity orderliness sincerity,85,the elements of style,william strunk;elwyn brooks white,1979,http://books.google.com/books/content?id=ADaMf2tEB7sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,language arts & disciplines,1516,28,
library liberal art title,352,the presocratics,philip wheelwright,1966,http://books.google.com/books/content?id=V45eMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,philosophy,1496,26,
lastthe public hearing deniedthese essay reveal keen power analysis applied obdurate problem bedevil electoral politics anyone care mechanism democracy engaged toughminded exploration doesnt matter think stand argue agree henry louis gate jr lani guiniers fascinating book prophetic intervention public conversation desperately need rejuvenate doubt powerful voice produce good consequence nation world cornel west author race matter intriguing desperately needed san francisco chronicle,352,tyranny of the majority,lani guinier,1995,http://books.google.com/books/content?id=aRF7XdcCLq0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,history,1229,20,
blending scholarly research interview many figure launched civil right movement 1960s 1970s record event movement tumultuous first decade,368,the origins of the civil rights movement,aldon d. morris,1986,http://books.google.com/books/content?id=7vyHY9DWcu8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,history,1908,26,
suggests theory presidential power test event administration postwar president,384,presidential power and the modern presidents,richard e. neustadt,1991,http://books.google.com/books/content?id=elGozulX_o8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,history,2254,21,
rabbit schedule keep busy friend trick resting,32,"rest, rabbit, rest",jacquelyn reinach;richard hefter,1978,http://books.google.com/books/content?id=8-40_Zrp5voC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1633,23,
young boy living ozarks achieves heart desire becomes owner two redbone hound teach champion hunter,288,where the red fern grows,wilson rawls,2000,http://books.google.com/books/content?id=IHpRwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1587,30,
there trouble gray house girlhood home poppy left long ago poppy family called back save allmother father sister brother dozen dozen deer mouse cousin poppy invite rebellious son junior join long trip across dimwood forest hoping journey bring closer together junior skunk pal mephitis ereth cantankerous porcupine towsugared slug souppoppy junior may unexpected adventure,256,poppy's return,avi,2006,http://books.google.com/books/content?id=XbcMJQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1460,25,
diary spider dont worried he scared gigantic shoe actually he lot like go gym class grandparent day school also spin sticky web scale wall take windcatching lesson lucky best friend fly doreen cronin harry bliss team behind 1 bestselling diary worm spin hilarious tale upsidedown web world eightlegged charmer unlikely friend fly,40,diary of a spider,doreen cronin,2005,http://books.google.com/books/content?id=UWvZo2pIhzMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2780,24,
adaptation original story follows activity seven child nineteenthcentury new england prepare thanksgiving holiday mother away caring grandmother,32,an old-fashioned thanksgiving,louisa may alcott;james bernardin,2005,http://books.google.com/books/content?id=SKYr4V6C1M0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2222,28,
mean fictional hero take journey share meal get drenched sudden rain shower often much going novel poem readily visible surfacea symbol maybe remains elusive unexpected twist characterand there sneaking suspicion deeper meaning literary text keep escaping practical amusing guide literature thomas c foster show easy gratifying unlock hidden truth discover world road lead quest shared meal may signify communion rain whether cleansing destructive never rain ranging major theme literary model narrative device form read literature like professor perfect companion making reading experience enriching satisfying fun,314,how to read literature like a professor,thomas c. foster,2003,http://books.google.com/books/content?id=irkUlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary criticism,2298,20,
winner 2001 carnegie medal one rat popping squeaking loudly taking bath cream could plague day amazing glad people see kid magical rat pipe amazing rat followed hint town theyd really amazed theyd ever found rat piper met cat somewhere outside town solemnly counted money amazing maurice run perfect pied piper scam streetwise alley cat know value cold hard cash talk way anything maurice cohort decide con town bad blinitz take fast talking survive danger awaits town food scarce rat hated cellar lined deadly trap terrifying evil lurks beneath hungerstricken street set terry pratchetts widely popular discworld masterfully crafted gripping read compelling funny one world acclaimed fantasy writer turn classic fairy tale head one ever look pied piper rat way,256,the amazing maurice and his educated rodents,terry pratchett,2001,http://books.google.com/books/content?id=1Z8KJQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1805,30,
nightmarish danger threatens side reality armed frying pan common sense young witchtobe tiffany aching must defend home monster fairyland luckily unusual help local nac mac feegleaka wee free mena clan fierce sheepstealing swordwielding sixinchhigh blue men together must face headless horseman ferocious grimhounds terrifying dream come true ultimately sinister queen elf story discworld,390,the wee free men,terry pratchett,2004,http://books.google.com/books/content?id=8PLblgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1875,25,
archswindler moist van lipwig never believed confidence crime hanging offense found noose tightly around neck dropping trapdoor falling government job right moist met maker instead lord vetinari supreme ruler ankhmorpork promptly offer job postmaster since option nonliving one moist accepts position hulking golem watchdog come along case moist considering abandoning responsibility prematurely getting moribund postal service running however may nearimpossible task literally mountain decadesold undelivered mail clogging every nook cranny brokendown post office building creaky old postman one rather unstable pinobsessed youth available deliver worse still moist could swear mail talking worst mean taking gargantuan moneyhungry grand trunk clack communication monopoly bloodthirsty piratical head mr reacher gilt say building neither rain snow glo ni inspiring word admittedly bronze letter stolen wretched life moist going fight bold impossible whats called hell order move mail continue breathing get girl specially deliver invaluable commodity every human mention troll dwarf yes even golem requires hope,377,going postal,terry pratchett,2004,http://books.google.com/books/content?id=5xRh5kkS84UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2808,30,
freud babbitt animal farm sartre great society theory relativity counterculture kosovo modern mind encyclopedic covering major writer artist scientist philosopher produced idea live peter watson produced fluent engaging narrative intellectual tradition twentieth century men woman created,847,modern mind,peter watson,2002,http://books.google.com/books/content?id=JVdMSavwwHoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,science,1134,30,
unfortunate helicopter ride wild alaska successful screenwriter lou calabrese reunited sexy jack townsend forced desperate battle survival crash land wilderness,357,she went all the way,meg cabot,2002,http://books.google.com/books/content?id=3ANI1Q2Z-qsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2845,24,
shipwrecked journalist discovers beauty serentity promoted science island pala,354,island,aldous huxley,1962,http://books.google.com/books/content?id=MB3VSMgJ5CkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2461,28,
1599 epochal year shakespeare england shakespeare wrote four famous play henry fifth julius caesar like remarkably hamlet elizabethan sent army crush irish rebellion weathered armada threat spain gambled fledgling east india company waited see would succeed aging childless queen james shapiro illuminates shakespeare staggering achievement elizabethan experienced course 1599 bringing together news intrigue time wonderful evocation shakespeare worked actor businessman playwright result exceptionally immediate gripping account inspiring moment history,333,a year in the life of william shakespeare,james shapiro,2006,http://books.google.com/books/content?id=86bOlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,1655,30,
happens psychic tell lucy shell getting married within year roommate panic going happen blissful existence eating takeout drinking much wine bringing men home never vacuuming lucy reassures friend shes far busy arguing mother taking care irresponsible father get married there small matter even boyfriend lucy meet gorgeous unreliable gu could future mr lucy sullivan could handsome chuck daniel world biggest flirt even cute jed new guy work maybe friend something worry,640,lucy sullivan is getting married,marian keyes,2002,http://books.google.com/books/content?id=qLl-3FGhPl0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1972,22,
team surgeon perform operation violent paranoid attempt electronically control behavior,266,the terminal man,michael crichton,2002,http://books.google.com/books/content?id=9hERBFsuOcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1133,25,
kundera brilliantly examines work important diverse figure rabelais cervantes sterne diderot flaubert tolstoy musil especially penetrating hermann broch exploration world kafka novel vividly reveals comic terror kafka bureaucratized universe kunderas discussion work includes view role historical event fiction meaning action creation character postpsychological novel,176,the art of the novel,milan kundera,2003,http://books.google.com/books/content?id=H_3jAacr_U4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary criticism,1460,26,
world whose season defined christmas sale spring fashion hundred tiny nome live corner cranny humanrun department store made home beneath floorboard generation longer remember even believe life beyond store wall day small band nome arrives store outside led young nome named masklin outsider carry mysterious black box called thing deliver devastating news twentyone day store destroyed nome must learn work together must learn think think big part satire part parable part adventure story par excellence master storyteller terry pratchetts engaging trilogy trace nome flight search safety search lead discover astonishing origin take beyond wildest dream,502,the bromeliad trilogy,terry pratchett,2003,http://books.google.com/books/content?id=IsFpvCusQsIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1548,21,
christmas eve amelia bedelia get rogers house ready visit aunt myra amelia bedelia charge christmas one funniest ever,64,"merry christmas, amelia bedelia",peggy parish,2002,http://books.google.com/books/content?id=SYCULYl-p-IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1702,23,
milan kunderas identity translated french linda asher situation fail moment recognize person identity erased simultaneously doubt also happens couple indeed couple lover fear anything else losing sight loved one stunning artfulness expanding playing variation meaningful moment milan kundera made situation vague sense panic inspires fabric new novel brevity go hand hand intensity moment bewilderment mark start labyrinthine journey reader repeatedly cross border real unreal occurs world outside mind creates solitude contemporary writer kundera transform hidden disconcerting perception material novel one finest painful enlightening surprisingly turn love story,176,identity,milan kundera,1998,http://books.google.com/books/content?id=D30ExgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2853,25,
mysterious stranger promise end boredom trip magical holiday house tenyearold harvey learns fun high price,225,the thief of always,clive barker,1992,http://books.google.com/books/content?id=jKsrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1369,29,
fable aim teach reader open mind listen heart importantly follow dream,198,the illustrated alchemist,paulo coelho;alan r. clarke;moebius,1998,http://books.google.com/books/content?id=1YX2usKBAMIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1228,21,
provides daily reminder difference behavior communication style men woman,368,mars and venus book of days,john gray,1998,http://books.google.com/books/content?id=kd6YGT74stsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,family & relationships,2086,27,
whangdoodle wisest kindest extraordinary creature world disappeared created wonderful land remarkable animal tenlegged sidewinder little furry fluke friendly whiffle bird treacherous oily prock almost perfect place last really great whangdoodles could rule kingdom peace love sense fun apart forgotten people completely forgotten professor savant believed whangdoodle told three potter child search spectacular creature lindy tom ben eager reach whangdoodleland professor help discovered secret way waiting scheming prock would use almost mean keep away beloved king skill determination four traveler able discover last really great whangdoodles grant heart desire julie andrew edward star stage screen written unique beloved story become modern classic last really great whangdoodles sure continue delight reader everywhere edition includes new foreword author,209,the last of the really great whangdoodles,julie andrews edwards,1996,http://books.google.com/books/content?id=D-iftWFTCcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1553,22,
today feel silly mom say heat put rouge cat glove foot ate noodle breakfast pancake night dressed like star quite sight today sad mood heavy gray there frown face day best friend really big fight said tattled know shes right silly cranky excited sadeveryone mood change day jamie lee curtis zany touching verse paired laura cornell whimsical original illustration help kid explore identify even fun everchanging mood here another inspired picture book bestselling authorillustrator team tell night born little fouryearolds memoir youth,40,today i feel silly & other moods that make my day,jamie lee curtis,1998,http://books.google.com/books/content?id=s_2GIF_c0T8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2231,26,
missing piece sat alone waiting someone come along take somewhere different one encounter discovers helplessness portrayed simplicity compassion word drawing shel silverstein,104,the missing piece meets the big o,shel silverstein,1981,http://books.google.com/books/content?id=-m4gwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2003,27,
