description,num_pages,book_Title,Book_Author,year_of_Publication,image,categoryname,price,inStock,category
bestselling account martyrdom jim elliot four missionary hand auca indian ecuador new introduction author,272,shadow of the almighty,elisabeth elliot,1989,http://books.google.com/books/content?id=QQCG9mNU1eAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,religion,2721,21,
acclaimed spiritual memoir author secret life bee amazed find idea unfold spiritual life feminine way surprised fact little terrified found middle feminist spiritual reawakening sue monk conventionally religious churchgoing woman traditional wife mother thriving career christian writer began question role woman culture family church jarring encounter sexism suburban drugstore monastery retreat ritual cave crete kidd take reader fear anger healing transformation awakening retaining meaningful connection deep song christianity open door traditional christian woman discover spirituality speaks directly provides inspiring wisdom struggle embrace full humanity,256,the dance of the dissident daughter,sue monk kidd,2002,http://books.google.com/books/content?id=0FV3JwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,religion,1606,29,
known throughout world intellect behind chronicle narnia twentieth century influential christian writer c lewis stirred million reader probing insight passionate argument provocative question god love life death gathered mass published work including screwtape letter mere christianity four love god dock well letter essay le familiar writing compendium contains cross section lewis finest work,176,c.s. lewis,c. s. lewis,1996,http://books.google.com/books/content?id=vtr4NDL8AP8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,religion,1430,20,
humorous perceptive exchange two devil c lewis delf moral question good v evil temptation repentance grace wonderful tale reader emerges better understanding mean live faithful life,224,the screwtape letters,c. s. lewis,2001,http://books.google.com/books/content?id=v1kn7KYynzIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,religion,2975,29,
forceful accessible discussion christian belief become one popular introduction christianity one popular lewis book uncovers common ground upon christian stand together,227,mere christianity,c. s. lewis,2001,http://books.google.com/books/content?id=LpHbXdKJaMwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,religion,1506,21,
embraced life solitude hermitage thomas merton find faith tested beyond imagination visit hospital lead clandestine affair heart jolted comfortable routine merton forced reassess need love commitment celibacy monastic vocationthis astonishing volume trace merton struggle reconcile unexpected love sacred vow continuing grapple burning social issue day including racial conflict war vietnam arabisraeli conflict visiting corresponding highprofile friend like thich nhat hanh joan baez developing writing career revealing merton human chronicle ecstasy torment love learning love come full circle merton recommits completely deeply vocation even recognizes need love loneliness inner division struggle solitude problem solution perhaps perfect solution either 11 may 1967,382,learning to love,thomas merton,1998,http://books.google.com/books/content?id=U0nXswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,religion,1318,27,
man black country music legend quintessential american troubadour icon rugged individualism hell back telling tale never unforgettable autobiography johnny cash tell truth high low struggle hardwon triumph people shaped word cash set record straight dispelled myth looked unsparingly remarkable life joy boyhood dye arkansas superstardom nashville tennessee road cash life anything smooth cash writes thrill playing elvis comfort praying billy graham battle addiction devotion wife june gratitude life thought afterlife may bring friend lifetime including willie nelson roy orbison bob dylan kris kristofferson powerful memorable one classic song cash filled candor wit wisdom man truly walked line,310,cash,johnny cash,2003,http://books.google.com/books/content?id=yL6MRZfrWjkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,1187,30,
first volume personal correspondence written classic author c lewis includes letter penned childhood world war army day education oxford atheist period early friendship j r r tolkien,1072,"the collected letters of c.s. lewis, volume 1",c. s. lewis,2004,http://books.google.com/books/content?id=eOxfuF6BQ0gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,1384,29,
joe simpson climbing partner simon yates reached top 21000foot peak andes disaster struck simpson plunged vertical face ice ledge breaking leg hour followed darkness fell blizzard raged yates tried lower friend safety finally yates forced cut rope moment would pulled death next three day impossibly grueling ordeal men yates certain simpson dead returned base camp consumed grief guilt abandoning miraculously simpson survived fall crippled starving severely frostbitten trapped deep crevasse summoning vast reserve physical spiritual strength simpson crawled cliff canyon andes reaching base camp hour yates planned leave men overcame torment harrowing day epic tale fear suffering survival poignant testament unshakable courage friendship,218,touching the void,joe simpson,2004,http://books.google.com/books/content?id=Qg8DO-EqFzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,sports & recreation,2141,25,
marian keyes introduced reader life love foible five walsh sister claire maggie rachel helen anna crazy mammy funny heartbreaking triumphant new tale set big apple anna turn spotlight life perfect anna walsh best job world pr exec topselling urban beauty brand lovely apartment new york perfect husband love life aidan maddox morning wake mammy living room dublin stitch face dislocated knee completely smashedup hand memory got mammy play nursemaid like favorite nurse soap sister helen sits wet hedge private investigator work lucky star pi anna try get better keep wondering aidan wont return phone call email recuperating injury mystified anna return manhattan slowly beginning remember happened set search find aidan hilarious quest involving lily cant stop smelling psychic medium anyone city promise reunion beloved written classic style marrying darker part life humor wit anybody marian keyess best novel date wonderfully charming look love ever,456,anybody out there?,marian keyes,2006,http://books.google.com/books/content?id=79T7wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2730,21,
pony know fun game hideandseek perfectpastime beautiful afternoon sparkleworks nowhere found pony decide turn table make find,24,my little pony: hide-and-seek,jennifer frantz,2004,http://books.google.com/books/content?id=oP3lPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2320,24,
year 1689 cabal barbary galley slave including one jack shaftoe aka king vagabond aka halfcocked jack devise daring plan win freedom fortune great adventure ensues perilous race enormous prize silver nay gold nay legendary gold europe exquisite resourceful eliza countess de la zeur stripped immense personal fortune france dashing privateer penniless risk desire either head caught web international intrigue even desperately seek return precious possession meanwhile newton leibniz continue propound grand theory infamous rivalry intensifies stubborn alchemy battle natural science dastardly plot set motion daniel waterhouse seek passage massachusetts colony hope escaping madness world descended p edition feature extra 16 page insight book including author interview recommended reading,815,the confusion,neal stephenson,2005,http://books.google.com/books/content?id=NJbllgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2037,25,
jess aaron greatest ambition fastest runner grade he practicing summer cant wait see classmate face beat first day school new girl boldly cross boy side outruns everyone thats promising beginning friendship jess leslie burke become inseparable together create terabithia magical kingdom wood two reign king queen imagination set limit one morning terrible tragedy occurs jess able come grip tragedy finally understand strength courage leslie given,191,bridge to terabithia (rack),katherine paterson,2004,http://books.google.com/books/content?id=LgLT04F1KscC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1824,27,
christopher moore ingenious debut novel meet one memorably mismatched pair annals literature goodlooking one onehundredyearold exseminarian road scholar travis ohearn green one catch demon nasty habit eating people meet behind fake tudor faade pine cove california catch see fourstar buffet travis hand think see way ridding toothy traveling companion wino neopagans deadbeat lothario pine cove meanwhile idea none quite prepared hell break loose,256,practical demonkeeping,christopher moore,2004,http://books.google.com/books/content?id=saaBiYmBmgsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1804,25,
take wonderfully crazed excursion demented heart tropical paradisea world cargo cult cannibal mad scientist ninja talking fruit bat bumbling hero tucker case hopeless geek trapped cool guy body make living pilot mary jean cosmetic corporation demolishes boss pink plane drunken airborne liaison tuck must run life mary jean goon there one employment opportunity left piloting shady secret mission unscrupulous medical missionary sexy blond high priestess remotest micronesian hell brazen ingenious irreverent wickedly funny novel modern master outrageous,336,island of the sequined love nun,christopher moore,2004,http://books.google.com/books/content?id=YLqclgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1614,29,
town psychiatrist decided switch everybody pine cove california normal antidepressant placebo naturallywell accurate artificiallybusiness booming local blue bar trouble lonely slideguitar note also attracted colossal sea beast named steve shall say thing explosive oil tanker truck suddenly morose pine cove turn libidinous hit mysterious crime wave beleaguered constable fight gonzo appetite find whats wrong anything,304,the lust lizard of melancholy cove,christopher moore,2004,http://books.google.com/books/content?id=kUDSt-EI814C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1836,22,
fifteen year ago francesca lia block made dazzling entrance literary scene would become one talkedabout book decade weetzie bat poetic roller coaster swoop sleek new design match new sister brother book goat girl beautiful boy rediscover magic weetzie bat m block sophisticated slinkstercool love song lathe book shattered standard captivated reader generation made francesca lia block one heralded author last decade,128,weetzie bat,francesca lia block,2004,http://books.google.com/books/content?id=vxCXxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2506,26,
echo fall never know whats coming next everyone secret thing amiss 99 maple lane ingrids dad job jeopardy wont explain ingrids brother ty getting buff really buff ty start getting moody ingrid wonder there physical fitness lifting weight meanwhile ingrids beloved soccer coach replaced icy newcomer named julia lecaine seems little savvy postgame pizza true hero sherlock holmes ingrid begin fishing around find who really pulling string echo fall one morning en route dreaded mathfest ingrid kidnapped locked trunk car even escape anyone believe story sequel rabbit hole clever young girl learns mysterious force work town exposing could put life jeopardy,352,behind the curtain,peter abrahams,2006,http://books.google.com/books/content?id=c5FuIIBgTGQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2032,22,
originally published new york clarion book 1994,224,"catherine, called birdy (summer reading edition)",karen cushman,2004,http://books.google.com/books/content?id=W1RIPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2663,21,
dorothy triumphed wicked witch west l frank baum classic tale heard side story archnemesis mysterious witch come become wicked true nature evil gregory maguire creates fantasy world rich vivid never look oz way wicked land animal talk strive treated like firstclass citizen munchkinlanders seek comfort middleclass stability tin man becomes victim domestic violence little greenskinned girl named elphaba grow become infamous wicked witch west smart prickly misunderstood creature challenge preconceived notion nature good evil,409,wicked musical tie-in edition,gregory maguire,2004,http://books.google.com/books/content?id=MLEujRNyoMUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2434,28,
ten year publication wicked beloved novelist gregory maguire return last land oz introduces u liir adolescent boy last seen hiding shadow castle dorothy witch bruised comatose left dead gully liir shattered spirit well form tended cloister saint glinda silent novice called candle will back life musical gift dark force left liir condition really elphabas son broom capebut power find supposed halfsister last seen forbidding prison southstairs fulfill last wish dying princess oz since wizard departure new dangerous management liir keep head long enough grow countless fan dazzled entranced maguires oz son witch rich reward awaited long,352,son of a witch,gregory maguire,2006,http://books.google.com/books/content?id=5-3f3naMQ6QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2326,20,
fledgling actress vacationing corfu lucy waring witness murder one england theater luminary becomes embroiled dangerous offstage drama reprint,373,this rough magic,mary stewart,2004,http://books.google.com/books/content?id=BjFn9MD8n10C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1350,29,
vanessa march never thought look missing husband vienna saw newsreel shot scene deadly fire hunt answer lead sinister question mysterious world beautiful horse wait vanessa shadow terrifying anything ever encountered,384,airs above the ground,mary stewart,2004,http://books.google.com/books/content?id=P_i1ysmDf8MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2234,20,
strange imprisonment beauty never liked nickname thin awkward two sister beautiful one lack look perhaps make courage father come home tale enchanted castle forest terrible promise make beast life beauty know must go castle prisoner free father protest let go answer cannot beast tamed robin mckinley beloved telling illuminates unusual love story unlikely couple beauty beast,325,beauty,robin mckinley,2005,http://books.google.com/books/content?id=EaWWnkiShpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2421,30,
guide loving couple looking renew sexual passion life explains societal taboo ideal domestic equality compromised healthy expression eroticism today relationship resource explains overcome personal constraint greater intimacy 40000 first printing,272,mating in captivity,esther perel,2006,http://books.google.com/books/content?id=-HIhMOQanIEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,psychology,1476,28,
forgotten new york passport 300 year history architecture memory hidden plain sight house dating first dutch settler staten island yellow brick road brooklyn clock embedded sidewalk manhattan bishop crook lamppost queen white elephant bronxthis new york guide seeing forgotten new york cover five borough easytouse map suggested route hundred outofthe way place antiquated monument street nowhere building time lost forgotten new york feature quiet place truly forgotten history happened thing forgotten people much,384,forgotten new york,kevin walsh,2006,http://books.google.com/books/content?id=77aiRf018Y0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,travel,1002,26,
marilyn johnson enthralled remarkable life marching worldso sought best obit english language people spent life writing dead surveyed darkest corner internet chat room made pilgrimage london savor caustic literate obit lead u compelling journey cult culture behind obituary page unusual life dont quite appreciate theyre gone,272,the dead beat,marilyn johnson,2007,http://books.google.com/books/content?id=b03jlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,social science,2512,20,
family without men birch live gloriously offbeat life lush green backwoods north carolina radiant headstrong sophia shy brilliant daughter margaret posse powerful charm ward loneliness despair human misery often beat path door protected eccentric wisdom muscular love remarkable matriarch charlie kate solid uncompromising selftaught healer treat everything boil broken bone broken heart sophia margaret charlie kate find strength time woman almost always depended men bond deepens one experience love loss world war ii charm easy life passionate luminous exhilarating story embracing life offer even mean finding unconventional way p edition feature extra 16 page insight book including author interview recommended reading,272,charms for the easy life,kaye gibbons,2005,http://books.google.com/books/content?id=TE2mBDsQyvkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2673,29,
reading group follows trial tribulation group woman meet regularly read discus booksover course year woman become intertwined book read within others life inspired shared desire conversation good book glass wineclare harriet nicole polly susan undergo startling revelation transformation despite difference background age respective dilemma start reading group gradually evolves forum woman may express view book read grow become increasingly open bond friendship cement reading group noble reveals many complicated path life face well power importance friendship p edition feature extra 16 page insight book including author interview recommended reading,429,the reading group,elizabeth noble,2005,http://books.google.com/books/content?id=IagWjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2713,21,
vermont elementary school april fool day take sinister tone teacher go missing several suspect emerge among teacher fiance missing mutant chick,240,a couple of april fools,gregory maguire,2005,http://books.google.com/books/content?id=qW4cvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1572,30,
essential explained master storyteller essayist c lewis tackle central question christian faith jesus accomplish mean classic essay began talk bbc world war ii lewis creatively simply explains basic tenet christianity taken core section mere christianity selection gift edition provides accessible way people discover timeless truth looking remind thing hold true looking snapshot christianity book wonderful introduction faith,98,what christians believe,c. s. lewis,2005,http://books.google.com/books/content?id=81T46KixNg8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,religion,2018,30,
could give could give psyche known lovescented jasmine tasting fresh orange yet fleeting fragile lost quickly punished selfdoubt psyche yearns transformed like beautiful brutal figure myth lover spoke attempting uncover beauty darkness challenged tested changed god demon tempt faith must found love must never look back,116,psyche in a dress,francesca lia block,2006,http://books.google.com/books/content?id=NYE3GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2098,20,
outline step achieving overall physical health addressing area body series chapter designed challenge popular myth informing reader range dietary exercise therapeutic concern,417,you: the owner's manual,michael f roizen;mehmet c oz,2005,http://books.google.com/books/content?id=WMtZ29Fjx2MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,health & fitness,1275,24,
digory polly try return wicked witch jadis world magic get mixed land narnia witness aslan blessing animal human speech,766,the chronicles of narnia movie tie-in edition (adult),c. s. lewis,2005,http://books.google.com/books/content?id=4qVxvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2079,23,
open door enter world narnia land frozen eternal winter country waiting set free four adventurer step wardrobe door land narnia land enslaved power white witch almost hope lost return great lion aslan signal great change great sacrifice,189,"the lion, the witch and the wardrobe movie tie-in edition (rack)",c. s. lewis,2005,http://books.google.com/books/content?id=u95ZvAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1757,22,
